"REF_DATE","GEO","DGUID","Type of service","Air carrier levels","Operating statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Passenger-kilometres","Number","223","thousands","3","v122615161","1.1.1.4","155927079","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615162","1.1.1.5","15592708","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615163","1.1.1.6","2273061","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615164","1.1.1.7","17865769","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Hours flown","Number","223","thousands","3","v122615165","1.1.1.8","2822","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Number of carriers included","Number","223","units","0","v122615957","1.1.2.1","25","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Passengers","Number","223","thousands","3","v122615166","1.1.2.2","66149","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Goods carried","Kilograms","192","thousands","3","v122615167","1.1.2.3","667564","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Passenger-kilometres","Number","223","thousands","3","v122615168","1.1.2.4","154806087","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615169","1.1.2.5","15480609","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615170","1.1.2.6","2245860","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615171","1.1.2.7","17726469","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Levels I and II","Hours flown","Number","223","thousands","3","v122615172","1.1.2.8","2343","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Number of carriers included","Number","223","units","0","v122615958","1.1.3.1","72","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Passengers","Number","223","thousands","3","v122615173","1.1.3.2","1842","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Goods carried","Kilograms","192","thousands","3","v122615174","1.1.3.3","53308","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Passenger-kilometres","Number","223","thousands","3","v122615175","1.1.3.4","1120992","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615176","1.1.3.5","112099","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615177","1.1.3.6","27200","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615178","1.1.3.7","139300","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Canadian air carriers, Level III","Hours flown","Number","223","thousands","3","v122615179","1.1.3.8","479","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Passengers","Number","223","thousands","3","v122615180","1.2.1.2","63659","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Goods carried","Kilograms","192","thousands","3","v122615181","1.2.1.3","457137","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Passenger-kilometres","Number","223","thousands","3","v122615182","1.2.1.4","148465210","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615183","1.2.1.5","14846521","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615184","1.2.1.6","1971881","","","","0"
