"REF_DATE","GEO","DGUID","Type of fuel","Air carrier levels","Fuel consumption","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100708","1.3.3.1","15466","","","","0"
"2017","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100709","1.3.3.2","21156","","","","0"
"2017","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100716","1.4.1.1","17738","","","","0"
"2017","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100717","1.4.1.2","28858","","","","0"
"2017","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100702","1.4.2.1","1989","","","","0"
"2017","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100703","1.4.2.2","3124","","","","0"
"2017","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100710","1.4.3.1","283","","","","0"
"2017","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100711","1.4.3.2","4578","","","","0"
"2018","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100718","1.1.1.1","8510311","","","","0"
"2018","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100719","1.1.1.2","7002814","","","","0"
"2018","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100704","1.1.2.1","8335436","","","","0"
"2018","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100705","1.1.2.2","6774669","","","","0"
"2018","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100712","1.1.3.1","174875","","","","0"
"2018","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100713","1.1.3.2","228145","","","","0"
"2018","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100714","1.2.1.1","8485718","","","","0"
"2018","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100715","1.2.1.2","6968436","","","","0"
"2018","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100700","1.2.2.1","8333302","","","","0"
"2018","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100701","1.2.2.2","6770763","","","","0"
"2018","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100706","1.2.3.1","152416","","","","0"
"2018","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100707","1.2.3.2","197673","","","","0"
"2018","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100708","1.3.3.1","22112","","","","0"
"2018","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100709","1.3.3.2","29437","","","","0"
"2018","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100716","1.4.1.1","24593","","","","0"
"2018","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100717","1.4.1.2","34378","","","","0"
"2018","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100702","1.4.2.1","2134","","","","0"
"2018","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100703","1.4.2.2","3905","","","","0"
"2018","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100710","1.4.3.1","347","","","","0"
"2018","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100711","1.4.3.2","1035","","","","0"
"2019","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100718","1.1.1.1","8688108","","","","0"
"2019","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100719","1.1.1.2","6842669","","","","0"
"2019","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100704","1.1.2.1","8493455","","","","0"
"2019","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100705","1.1.2.2","6604591","","","","0"
"2019","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100712","1.1.3.1","194654","","","","0"
"2019","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100713","1.1.3.2","238078","","","","0"
"2019","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100714","1.2.1.1","8674082","","","","0"
"2019","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100715","1.2.1.2","6822637","","","","0"
"2019","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100700","1.2.2.1","8491288","","","","0"
"2019","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100701","1.2.2.2","6600443","","","","0"
"2019","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100706","1.2.3.1","182794","","","","0"
"2019","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100707","1.2.3.2","222194","","","","0"
"2019","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100708","1.3.3.1","10932","","","","0"
"2019","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100709","1.3.3.2","14780","","","","0"
"2019","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100716","1.4.1.1","14027","","","","0"
"2019","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100717","1.4.1.2","20033","","","","0"
"2019","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100702","1.4.2.1","2167","","","","0"
"2019","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100703","1.4.2.2","4148","","","","0"
"2019","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100710","1.4.3.1","928","","","","0"
